,TITLE,COMPANY,LOCATION,SALARY
41,Accounts Assistant,Hilton Dublin City,"Dublin, County Dublin",€ Not Disclosed
42,Grants and Cost Optimisation Accountant,Cpl Resources - Limerick,"Shannon, Clare","€60,000 - €75,000 per annum"
43,Part-Qualified Accountant,Total Talent Solutions,"Nenagh North, County Tipperary","€35,000 - €40,000 per annum"
44,Part-Qualified Accountant,Total Talent Solutions,"Limerick, County Limerick","€35,000 - €40,000 per annum"
45,Part-Qualified Accountant,Total Talent Solutions,"Portlaoise, County Laois","€35,000 - €40,000 per annum"
46,Part-Qualified Accountant,Total Talent Solutions,"Kilkenny, County Kilkenny","€37,000 - €40,000 per annum"
47,Accountant (3 Month Contract),Reed Global,"Dublin, County Dublin","€60,000 - €70,000 per annum"
48,Bookkeeper / Accounts Assistant - Permanent - Kildare,Leinster Appointments,"Newbridge, County Kildare","€45,000 - €50,000 per annum"
49,Management Accountant,Excel Recruitment,"County Dublin, Dublin","€55,000 - €65,000 per annum"
50,Senior Accountant,Total Talent Solutions,County Tipperary,"€60,000 - €65,000 per annum"
51,Senior Accountant,Total Talent Solutions,"Monaghan, County Monaghan","€60,000 - €65,000 per annum"
52,Management Accountant,Total Talent Solutions,"County Dublin, Dublin","€70,000 - €75,000 per annum"
53,Management Accountant,Bolands Mercedes,"Wexford, County Wexford",€ Not Disclosed
54,Senior Accountant,Total Talent Solutions,"Cahir, County Tipperary","€60,000 - €65,000 per annum"
55,Financial Accountant – Full or Part-Time,Leinster Appointments,"Kildare, County Kildare","€60,000 - €70,000 per annum"
56,Financial Accountant,Cpl Resources - Finance,"South Dublin, County Dublin",€ Not Disclosed
57,Accounts Administrator - Maternity Cover Contract,Harvey Norman,"Naas, County Kildare",€ Not Disclosed
58,Trainee Accountant - 3 year contract,Cpl Resources - Finance,"Dublin, County Dublin",€ Not Disclosed
59,EHR Finance Build Team Member,UPMC Ireland,County Waterford,€ Not Disclosed
60,Finance Support,Orange Recruitment Ltd.,"Sligo, County Sligo","€45,760 - €47,840 per annum"
61,Finance Support,Orange Recruitment Ltd.,County Kerry,"€45,760 - €47,840 per annum"
62,Front Office Duty Manager,Powerscourt Hotel,"Enniskerry, County Wicklow",€ Not Disclosed
63,Finance Support,Orange Recruitment Ltd.,"Galway, Republic of Ireland","€45,760 - €47,840 per annum"
64,Finance Manager,Leinster Appointments,"Kildare, County Kildare","€80,000 - €90,000 per annum"
65,Semi Liquid Fund Controller,Cpl Resources - Finance,"Dublin, County Dublin",€ Not Disclosed
66,Graduate Finance Executive | Public Sector,Staffline Recruitment (ROI),"County Dublin, Dublin","€31,500 per annum"
67,Administrator (Finance),Lex Consultancy,"County Dublin, Dublin","€31,535 per annum"
68,International Payroll Manager,Regeneron Ireland,County Dublin,€ Not Disclosed
69,Office / Accounts Administrator,CSA Personnel Consultants,"Cork, County Cork",€15.50 - €17.50 per hour
70,SPV Fund Controller,Cpl Resources - Finance,"Dublin, County Dublin",€ Not Disclosed
71,"Governance, Risk & Compliance Officer",Oxfam Ireland,"Dublin, County Dublin","€35,909 - €41,126 per annum"
72,Office Administrator,Cirrus ERP Ltd,"Cavan, County Cavan",€ Not Disclosed
73,Business Analyst ERP,Cirrus ERP Ltd,"Cavan, County Cavan",€ Not Disclosed
74,Reservations Agent,Hilton Dublin City,"Dublin, County Dublin",€ Not Disclosed
75,Accounts/Finance Administrator,Wexford Swimming Pool and Leisure Company Ltd,"Wexford, County Wexford","€45,000 - €50,000 per annum"
76,Regional Controller - Europe,Cpl Resources - Executive Search,"South Dublin, County Dublin",€ Not Disclosed
77,Community Employment Supervisor,Parslickstown House Management CLG,"Dublin, County Dublin",€ Not Disclosed
78,Finance Manager,Cpl Resources - Cork,"Tralee, County Kerry",€ Not Disclosed
79,Property Manager,Lex Consultancy,"County Dublin, Dublin",€ Not Disclosed
80,Accounts Payable Part Time Clondalkin,Executive Edge,"Clondalkin, County Dublin","€24,999 - €25,000 per annum"
81,Cash Flow Fund Accountant,Robert Walters Limited,"Dublin, County Dublin",€ Not Disclosed
82,Vice President Private Credit Funds,Cpl Resources - Finance,"Kilkenny, County Kilkenny",€ Not Disclosed
83,Management Accountant,Primeline Group,County Meath,€ Not Disclosed
84,Financial Accountant,Staycity,County Dublin,€ Not Disclosed
85,Newly Qualified Accountant,Reed Global,"Cavan, County Cavan","€55,000 per annum"
86,Financial Accountant Tech contract,Cpl Resources - Finance,"Dublin, County Dublin",€ Not Disclosed
87,Senior Tax Manager,Yuno Limited,County Dublin,€ Not Disclosed
88,Maintenance Service Administrator,Reed Global,"Dublin, County Dublin","€36,000 - €40,000 per annum"
89,Materials Assistant - UPMC Whitfield,UPMC Ireland,County Waterford,€ Not Disclosed
90,Executive Assistant,The Recruitment Bureau (Drogheda) Limited,County Louth,€ Not Disclosed
91,Accounts Receivable Team Lead,Cpl Resources - Cork,"Cork, County Cork",€ Not Disclosed
92,Accounts Payable Administrator,Leinster Appointments,"Dublin, County Dublin","€30,000 - €40,000 per annum"
93,Financial Controller,SE Systems,"Cork, County Cork",€ Not Disclosed
94,Financial Controller,Trump International Golf Links & Hotel,"Doonbeg, Clare",€ Not Disclosed
95,Audit Manager,Purcell O'Leary Recruitment,"Wexford, County Wexford",€ Not Disclosed
96,Finance Support,Orange Recruitment Ltd.,"Dublin, County Dublin","€45,760 - €47,840 per annum"
97,Accounts Administrator / Assistant,Greavy & Co Accountants,"County Dublin, Dublin","€35,000 - €45,000 per annum"
98,Front Desk Agent,The Shelbourne Hotel,"Dublin, County Dublin","€28,000 per annum"
99,"Credit Controller - UPMC Sports Surgery Clinic, Santry",UPMC Ireland,County Dublin,€ Not Disclosed
100,IT Service Desk Engineer,Cpl Resources - Limerick,"Limerick, County Limerick",€ Not Disclosed
101,IT Contract/Vendor Management Specialist - UPMC Ireland,UPMC Ireland,County Waterford,€ Not Disclosed
102,IT Project Engineer / Project Manager,Lex Consultancy,"Dublin, County Dublin","€70,000 - €90,000 per annum"
103,Senior IT Systems Engineer,Adecco,County Tipperary,"€45,000 - €53,000 per annum"
104,IT Support Analyst - UPMC Whitfield,UPMC Ireland,County Waterford,€ Not Disclosed
105,IT Support Technician,Staffline Recruitment (ROI),"Dublin, County Dublin","€37,000 - €39,000 per annum"
106,IT Field Engineer,Excel Recruitment,"Dublin, County Dublin","€40,000 - €42,000 per annum"
107,Staff IT Compliance Analyst,Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
108,IT Manager/Site Lead,Cpl Resources - Limerick,"Tipperary, County Tipperary",€ Not Disclosed
109,Senior IT Security Analyst,Cpl Resources - Technology,"Dublin, County Dublin",€ Not Disclosed
110,Sr Automation Engineer (Small Manufacturing Equipment),Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
111,Principal GMP Data Governance Business Partner (Data Integrity),Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
112,Solution Architect – IoT/ICT,Three Ireland,County Dublin,€ Not Disclosed
113,ICT Officer,Cpl Resources - Galway,"Galway, Republic of Ireland",€ Not Disclosed
114,Sales Person - Full Time - Computers Dept,Harvey Norman,"Cork, County Cork",€ Not Disclosed
115,Sales Person - Full Time - Computers Dept.,Harvey Norman,"Clondalkin, County Dublin",€ Not Disclosed
116,Back Dock Operative - Full Time - Computers Dept,Harvey Norman,"Galway, Republic of Ireland",€ Not Disclosed
117,Technical Support Engineer,Intellect Talent Acquisition,"Enniscorthy, County Wexford",€ Not Disclosed
118,Information Security Analyst Associate UPMC Ireland,UPMC Ireland,"Kilkenny, County Kilkenny",€ Not Disclosed
119,API Integration Specialist,Adecco,"Swords, County Dublin","€55,000 - €75,000 per annum"
120,Lead AI Engineer & Automation Architect,Staycity,County Dublin,€ Not Disclosed
121,Systems Analyst (Power Platform Developer),Cpl Resources - Technology,"Dublin, County Dublin",€ Not Disclosed
122,Finance Integration Analyst,Reed Global,"Drogheda, County Louth","€65,000 per annum"
123,Core Network Engineer (Packet Core),Three Ireland,County Dublin,€ Not Disclosed
124,IP Operations Engineer,Three Ireland,County Dublin,€ Not Disclosed
125,Senior Manager Data Governance,Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
126,Business Systems Specialist,Lidon Group,"Monasterevin, County Kildare",€ Not Disclosed
127,Level 2 Support Engineer,WebRecruit Ireland.,"Dublin, County Dublin",€ Not Disclosed
128,Finance Integration Analyst,Reed Global,"Dublin, County Dublin","€65,000 per annum"
129,SharePoint Developer / Consultant,Cpl Resources - Technology,"County Dublin, Dublin",€ Not Disclosed
130,Senior Database SRE Engineer,Adecco,"County Dublin, Dublin","€40,000 - €60,000 per annum"
131,QC Laboratory Digital Systems Specialist,Cpl Resources - TEG,"Dublin, County Dublin",€ Not Disclosed
132,Data Centre Programme Manager,Cpl Resources - Technology,"County Dublin, Dublin","€119,000 per annum"
133,Technical Support Specialist,Motor Distributors Ltd. – Mercedes-Benz,"Dublin, County Dublin",€ Not Disclosed
134,Tech Support Associate,Intellect Talent Acquisition,"Enniscorthy, County Wexford","€28,000 per annum"
135,Technical Support Specialist,Cpl Resources - Limerick,"Shannon, Clare","€35,000 - €50,000 per annum"
136,Data Protection and Information Officer - 6 month contract,Lex Consultancy,"Dublin, County Dublin","€65,769 per annum"
137,"Solutions Development Manager - €60,000, OTE up to 50%",Securitas Security Service,"Dublin, County Dublin","€60,000 per annum"
138,Sr. Business Systems Analyst,AMD,County Dublin,€ Not Disclosed
139,Conference & Banqueting Manager - 4* hotel Co Meath,Richard Lynch Consulting Limited,County Meath,€ Not Disclosed
140,€18.26 - Data Centre Security Officer,Securitas Security Service,"Dublin, County Dublin",€18.26 per hour
141,Principal Data Engineer,Cpl Resources - Technology,"Dublin, County Dublin",€ Not Disclosed
142,Senior Revenue Assurance Manager,Prepay Power,County Dublin,€ Not Disclosed
143,Project Manager Hardware Division,Executive Talent,"Sligo, County Sligo","€60,000 - €70,000 per annum"
144,EHR Laboratory Build Team Member,UPMC Ireland,County Waterford,€ Not Disclosed
145,Serviced Office Administrator,Smyth Recruitment,"Dublin, County Dublin",€ Not Disclosed
146,Serviced Office Administrator,Smyth Recruitment,"Dublin, County Dublin",€ Not Disclosed
147,CPD Co ordinator,Lex Consultancy,"Dublin, County Dublin",€ Not Disclosed
148,Business Analyst ERP,Cirrus ERP Ltd,"Cavan, County Cavan",€ Not Disclosed
149,Sales Support & Client Services Coordinator,Lex Consultancy,"County Dublin, Dublin",€ Not Disclosed
150,E-Commerce Lead,Clifden Recruitment Limited,"Rathcoole, County Dublin","€50,000 - €60,000 per annum"
151,Senior Account Manager,Kellett Recruitment,"Kilkenny, County Kilkenny","€75,000 - €80,000 per annum"
152,CRM Specialist,Hyundai Ireland,"Dublin, County Dublin",€ Not Disclosed
153,Company Governance and Secretariat Manager,Cpl Resources - Cork,"Cork, County Cork",€ Not Disclosed
154,Digital Advertising Specialist - Finnish Agency Partner,Abrivia,"County Dublin, Dublin",€ Not Disclosed
155,Company Governance and Secretariat Manager,Cpl Resources - Cork,"Cork, County Cork",€ Not Disclosed
156,Senior TechOps Engineer,Jacksonstone Recruitment,"Dublin, County Dublin",€ Not Disclosed
157,Non-Core Product Specialist,Three Ireland,County Dublin,€ Not Disclosed
158,Product Manager - Customer Portal,Cornmarket Group Financial Services Ltd,County Dublin,€ Not Disclosed
159,Support Worker,Coolebridge Limited,"Dublin, County Dublin",€14.50 - €16.42 per hour
160,Maintenance Manager,Brooks Hotel,"Dublin, County Dublin","€45,000 - €50,000 per annum"
161,Basic Grade Radiographer - UPMC Whitfield,UPMC Ireland,County Waterford,€ Not Disclosed
162,EHR Business Stream Lead,UPMC Ireland,County Waterford,€ Not Disclosed
163,"Basic Grade Radiographer- MRI, FTC - UPMC Whitfield Hospital",UPMC Ireland,County Waterford,€ Not Disclosed
164,EHR Diagnostic Imaging Build Team Member,UPMC Ireland,County Waterford,€ Not Disclosed
165,EHR Finance Build Team Member,UPMC Ireland,County Waterford,€ Not Disclosed
166,"Radiology Assistant, Twilight Shift - UPMC Whitfield Hospital",UPMC Ireland,County Waterford,€ Not Disclosed
167,"Radiology Assistant, Bank - UPMC Whitfield Hospital",UPMC Ireland,County Waterford,€ Not Disclosed
168,Senior Network Technician,Swarco,County Dublin,€ Not Disclosed
169,Healthcare Assistant Cardiology and Radiology - UPMC Waterford,UPMC Ireland,County Waterford,€ Not Disclosed
170,Specialist - Digital and Data Training,Conscia Talent,"Dublin, County Dublin","€68,008 - €104,645 per annum"
171,Clinical Specialist Radiographer MRI Twilight Shift,UPMC Ireland,County Waterford,€ Not Disclosed
172,Community Employment Supervisor,Parslickstown House Management CLG,"Dublin, County Dublin",€ Not Disclosed
173,Oracle Data Integrator,Cpl Resources - Technology,"County Dublin, Dublin",€ Not Disclosed
174,Care & Case Manager,The Good Shepherd Centre Kilkenny,"Longford, County Longford ",€17.39 per hour
175,Business Development Executive,Mercantile Group,"County Dublin, Dublin",€ Not Disclosed
176,Cinema Experience Manager,Odeon Cinemas Ltd,"Limerick, County Limerick",€17.07 per hour
177,GIS (Geographic Information Systems) Officer,Excel Recruitment,"Waterford, County Waterford",€ Not Disclosed
178,Quality Manager - Cancer Care Network,UPMC Ireland,County Waterford,€ Not Disclosed
179,District Web Architect JOBS.IE,JOBS.IE TEST ACCOUNT,Australia,"€50,000 - €80,000 per annum"
180,Serviced Office Administrator,Smyth Recruitment,"Dublin, County Dublin",€ Not Disclosed
181,Test Technician,Green IT,"Naas, County Kildare",€ Not Disclosed
182,Data Centre Engineer (Electrical/HVAC),Adecco,"County Dublin, Dublin","€30,000 - €63,000 per annum"
183,Senior Penetration Tester,Cpl Resources - Technology,"Dublin, County Dublin",€ Not Disclosed
184,Finance Integration Analyst,Reed Global,"Cavan, County Cavan","€65,000 per annum"
185,Data Management Specialist,Cpl Resources - Limerick,"Shannon, Clare","€35,000 - €50,000 per annum"
186,Automation Infrastructure Engineer,Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
187,Automation Technician,Pfizer Pharmaceutical,"Lucan And Pettycanon, County Dublin",€ Not Disclosed
188,Data Architect,Three Ireland,County Dublin,€ Not Disclosed
189,.Net Full Stack Engineer,Prepay Power,County Dublin,"€50,000 - €60,000 per annum"
190,Site Reliability Engineer,"G Treasury Ss, Llc","County Dublin, Dublin",€ Not Disclosed
191,ServiceNow Architect,Jacksonstone Recruitment,"Dublin, County Dublin",€ Not Disclosed
192,Principal and Senior Java Developer roles,Adecco,"Galway, Republic of Ireland","€75,000 - €110,000 per annum"
193,Technical Support and Customer Agent - Full-Time,Harvey Norman,"Swords, County Dublin",€ Not Disclosed
194,Software Engineering Manager,Cpl Resources - Limerick,"Limerick, County Limerick",€ Not Disclosed
195,Generative Data Annotator (m/w/d) – Deutsch,Cpl Resources - Language Jobs,"South Dublin, County Dublin","€31,063 per annum"
196,SQL Developer,Prepay Power,County Dublin,"€55,000 - €60,000 per annum"
197,Vehicle Graphics Installer,Airport Staff,"Santry, County Dublin","€30,000 - €40,000 per annum"
198,Clerical Officer,Staffline Recruitment (ROI),Republic of Ireland,"€31,105 - €48,429 per annum"
199,Automation Engineer,Pfizer Pharmaceutical,"Lucan And Pettycanon, County Dublin",€ Not Disclosed
200,Healthcare assistant,Excel Recruitment,"Ballyragget, County Kilkenny","€29,120 - €31,200 per annum"
201,"Healthcare Assistant - Stamullen, Co. Meath",Talbot Group,County Meath,€ Not Disclosed
202,Healthcare Assistant,Beechfield Care Group,County Westmeath,€ Not Disclosed
203,Healthcare Assistant - AnovoCare - Co Dublin,Trinity Care,"Swords, County Dublin",€ Not Disclosed
204,Healthcare Assistant - Balbriggan,Excel Recruitment,"Balbriggan, County Dublin",€ Not Disclosed
205,Healthcare Assistant,Purecare Healthcare Limited,"Dublin, County Dublin",€15.00 - €25.50 per hour
206,Healthcare Assistant,Purecare Healthcare Limited,"Carlow, County Carlow",€15.00 - €25.50 per hour
207,Support Worker / Healthcare Assistant,Purecare Healthcare Limited,"Kilkenny, County Kilkenny",€15.00 - €25.00 per hour
208,Healthcare Assistant in Cork,Noel Group,"Cork, County Cork","€35,360 - €37,440 per annum"
209,Healthcare Assistant in Tipperary,Noel Group,"Tipperary, County Tipperary","€35,360 - €37,440 per annum"
210,Person Support Worker (hereafter Healthcare Assistant),St. Margaret's Network,County Dublin,"€30,000 per annum"
211,Healthcare Assistant - Kilkenny,Excel Recruitment,"Kilkenny, County Kilkenny","€30,000 per annum"
212,Healthcare Assistant,Excel Recruitment,"Tipperary, County Tipperary","€30,000 - €31,000 per annum"
213,Healthcare Assistants that hold an EU passport for jobs in Ireland,Cpl Resources - Healthcare,"South Dublin, County Dublin","€28,000 - €29,000 per annum"
214,Healthcare Catering Assistant Dundalk,Broadline Recruiters,"Dublin, County Dublin",€ Not Disclosed
215,Healthcare Assistants,Beechfield Care Group,County Dublin,"€30,000 per annum"
216,Healthcare Assistant,Kiltipper Woods Care Centre,"Tallaght, County Dublin",€ Not Disclosed
217,HealthCare Assistant - Cork,Talbot Group,"Cork, County Cork",€ Not Disclosed
218,Full-Time Healthcare Assistant with Company Car Provided - County Meath,All in Care,County Meath,€14.50 - €19.00 per hour
219,Full-Time Healthcare Assistant - Driver,All in Care,"Dublin, County Dublin",€14.50 - €19.00 per hour
220,Full-Time Healthcare Assistant with Company Car Provided - Dublin North,All in Care,"Dublin, County Dublin",€14.50 - €19.00 per hour
221,Healthcare Assistant - Mental Health Services,Nua Healthcare,County Meath,€ Not Disclosed
222,Healthcare Assistant Bank- UPMC Aut Even Kilkenny,UPMC Ireland,"Kilkenny, County Kilkenny",€ Not Disclosed
223,Healthcare Assistant-UPMC Whitfield Hospital,UPMC Ireland,County Waterford,€ Not Disclosed
224,Healthcare Assistant,Kare Plan,"South Dublin, County Dublin",€13.00 - €19.00 per hour
225,Healthcare Assistant,Kare Plan,"Enniscorthy, County Wexford",€13.00 - €19.00 per hour
226,Healthcare Assistant,Kare Plan,County Tipperary,€16.00 - €19.00 per hour
227,Healthcare Assistant FTC - UPMC Aut Even,UPMC Ireland,"Kilkenny, County Kilkenny",€ Not Disclosed
228,Healthcare assistant,Kare Plan,"Limerick, County Limerick",€13.00 - €19.00 per hour
229,Healthcare Assistant,Kare Plan,"Shannon, Clare",€16.00 - €19.00 per hour
230,Healthcare Assistant,Kare Plan,"Shannon, Clare",€16.00 - €19.00 per hour
231,Healthcare Assistant,Kare Plan,County Wexford,€13.00 - €19.00 per hour
232,Healthcare Assistant,Kare Plan,"Shannon, Clare",€16.00 - €19.00 per hour
233,Healthcare Assistant,Kare Plan,"Greystones, County Wicklow",€13.00 - €19.00 per hour
234,Healthcare Assistant Cardiology and Radiology - UPMC Waterford,UPMC Ireland,County Waterford,€ Not Disclosed
235,Healthcare Assistant - Maynooth,Excel Recruitment,"Maynooth, County Kildare","€31,200 - €35,360 per annum"
236,Healthcare Assistant,Gentle Hands Homecare Limited,"Cork, County Cork",€14.00 - €15.00 per hour
237,Trainee Healthcare Assistant,Noel Group,"Carlow, County Carlow","€35,006 - €37,086 per annum"
238,Trainee Healthcare Assistant,Noel Group,"Wexford, County Wexford","€35,006 - €37,086 per annum"
239,Trainee Healthcare Assistant,Noel Group,"Waterford, County Waterford","€35,006 - €37,086 per annum"
240,Trainee Healthcare Assistant,Noel Group,"Kilkenny, County Kilkenny","€35,006 - €37,086 per annum"
241,HealthCare Assistant Galway,Cpl Resources - Healthcare,"Galway, Republic of Ireland",€ Not Disclosed
242,Healthcare Assistant/Support Worker: Kilkenny,Cpl Resources - Healthcare,"Kilkenny, County Kilkenny",€ Not Disclosed
243,Healthcare Catering Staff,Broadline Recruiters,"Dublin, County Dublin",€ Not Disclosed
244,Healthcare Assistant - Elderly Care,Excel Recruitment,County Dublin,"€32,240 - €37,440 per annum"
245,Healthcare Assistants,Beechfield Care Group,"Kildare, County Kildare",€ Not Disclosed
246,Full-Time Healthcare Assistant with Company Car Provided - Dublin Fingal,All in Care,"Dublin, County Dublin",€14.50 - €19.00 per hour
247,Full-Time Healthcare Assistant with Company Car Provided - Dublin South,All in Care,"Dublin, County Dublin",€14.50 - €19.00 per hour
248,Part-Time Healthcare Assistant,All in Care,"Dublin, County Dublin",€14.50 - €19.00 per hour
249,Healthcare Assistant,Kare Plan,"Howth, County Dublin",€13.00 - €19.00 per hour
250,Healthcare Assistant -Annabeg Nursing Home,Trinity Care,"Dublin, County Dublin",€ Not Disclosed
251,Healthcare Assistant Theatre - UPMC Sports Surgery Clinic Dublin,UPMC Ireland,"Santry, County Dublin",€ Not Disclosed
252,Healthcare Assistant,All in Care,"Dublin, County Dublin","€30,000 per annum"
253,Catering Manager - Healthcare,Burren Amber,"Limerick, County Limerick","€65,000 - €70,000 per annum"
254,Healthcare Solicitor,Reed Global,"County Dublin, Dublin","€70,000 - €90,000 per annum"
255,Healthcare Assitant,Purecare Healthcare Limited,"Waterford, County Waterford",€15.00 - €25.50 per hour
256,Healthcare Cleaner Kerry - €16.99ph,Broadline Recruiters,"Tralee, County Kerry",€16.99 per hour
257,Healthcare Cleaner Connacht - €16.99ph,Broadline Recruiters,"Galway, Republic of Ireland",€16.99 per hour
258,Healthcare Cleaner Limerick - €16.99ph,Broadline Recruiters,"Limerick, County Limerick",€16.99 per hour
259,Healthcare Cleaner Munster - €16.99ph,Broadline Recruiters,"Cork, County Cork",€16.99 per hour
260,Healthcare Cleaner Leinster - €16.99ph,Broadline Recruiters,"Kildare, County Kildare",€16.99 per hour
261,Healthcare Assitant,Kare Plan,"Limerick, County Limerick",€16.00 - €19.00 per hour
262,Healthcare Supervisor - Dublin North,All in Care,"Dublin, County Dublin","€35,000 per annum"
263,Senior Healthcare Assistants,Trinity Care,"Gormanston, County Meath",€14.79 per hour
264,Clerical Officer | Naas | Healthcare,Staffline Recruitment (ROI),"Naas, County Kildare","€30,000 - €33,000 per annum"
265,General Catering Manager - Healthcare,Excel Recruitment,"Dublin, County Dublin","€60,000 - €65,000 per annum"
266,Healthcare Cleaner Dublin - €16.99ph,Broadline Recruiters,"Dublin, County Dublin",€16.99 per hour
267,Assistant Catering Manager,The Firm,"Dublin, County Dublin","€45,000 - €55,000 per annum"
268,Relief Shift Attendant,The Good Shepherd Centre Kilkenny,"Kilkenny, County Kilkenny",€15.66 per hour
269,Waking Night Support Worker,The Good Shepherd Centre Kilkenny,"Kilkenny, County Kilkenny",€17.20 per hour
270,Clinical Nurse Manager 1(Housing First- Homeless Services),The Good Shepherd Centre Kilkenny,County Waterford,"€64,750 per annum"
271,Health Care Assistant - Relief Hours Contract,Beechfield Care Group,County Meath,€14.50 - €14.80 per hour
272,Health Care Assistant - Wicklow,Talbot Group,"Wicklow, County Wicklow",€ Not Disclosed
273,Health Care Assistant -Peri-Operative - UPMC Aut Even,UPMC Ireland,"Kilkenny, County Kilkenny",€ Not Disclosed
274,Health Care Assistant,Beechfield Care Group,County Dublin,€ Not Disclosed
275,Health Care Assistant - Day or Night Duty - Full Time,Lisheen Nursing Home,"Rathcoole, County Dublin",€ Not Disclosed
276,Health Care Assistant,Beechfield Care Group,County Dublin,€ Not Disclosed
277,Health Care Assistant - Home Care (Flexible Hours),Dublin Home Support,"Dublin, County Dublin",€ Not Disclosed
278,Health Care Assistant - Home Care (Evenings),Dublin Home Support,"Dublin, County Dublin",€14.78 - €29.56 per hour
279,HCA - Wexford,Excel Recruitment,"Barntown, County Wexford","€31,200 - €35,360 per annum"
280,Social Care Worker and Assistant Support Worker,Nua Healthcare,"Kilkenny, County Kilkenny",€ Not Disclosed
281,Social Care Worker and Assistant Support Worker,Nua Healthcare,"Clonmel, County Tipperary",€ Not Disclosed
282,HCA,Excel Recruitment,"Dublin, County Dublin",€ Not Disclosed
283,Assistant Support Worker Social Care Worker - Sign on Bonus,Nua Healthcare,"Galway, Republic of Ireland",€ Not Disclosed
